,Unnamed: 0,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,id
81066,81066.0,Male,Loyal Customer,46.0,Business travel,Eco,550.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,1.0,2.0,5.0,3.0,5.0,neutral or dissatisfied,55542
89088,89088.0,Male,disloyal Customer,26.0,Business travel,Business,1205.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0,5.0,4.0,5.0,4.0,4.0,2.0,0.0,0.0,neutral or dissatisfied,74494
28262,28262.0,Male,Loyal Customer,32.0,Business travel,Business,2639.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,9.0,7.0,neutral or dissatisfied,96842
88527,88527.0,Female,Loyal Customer,37.0,Business travel,Business,1620.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,0.0,0.0,satisfied,55951
65089,65089.0,Female,Loyal Customer,52.0,Business travel,Business,3177.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,1.0,4.0,2.0,4.0,77.0,65.0,satisfied,53477
83597,83597.0,Male,Loyal Customer,47.0,Business travel,Business,468.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,7.0,satisfied,122901
25266,25266.0,Female,disloyal Customer,26.0,Business travel,Eco,1250.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,5.0,0.0,neutral or dissatisfied,40359
66938,66938.0,Female,Loyal Customer,55.0,Business travel,Eco,234.0,3.0,4.0,4.0,4.0,5.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,61.0,,satisfied,29981
1578,1578.0,Female,disloyal Customer,15.0,Business travel,Eco,1183.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,4.0,2.0,3.0,4.0,34.0,41.0,neutral or dissatisfied,79471
95139,95139.0,Male,Loyal Customer,36.0,Personal Travel,Eco,406.0,1.0,4.0,1.0,3.0,4.0,1.0,4.0,4.0,1.0,5.0,3.0,2.0,4.0,4.0,0.0,0.0,neutral or dissatisfied,88690
75305,75305.0,Male,Loyal Customer,32.0,Personal Travel,Eco,946.0,5.0,5.0,5.0,3.0,2.0,5.0,2.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,0.0,3.0,satisfied,83522
67591,67591.0,Female,Loyal Customer,35.0,Business travel,Business,2319.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,satisfied,87606
10686,10686.0,Male,Loyal Customer,62.0,Business travel,Eco Plus,268.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,2.0,4.0,1.0,5.0,0.0,3.0,satisfied,4947
57991,57991.0,Female,Loyal Customer,33.0,Business travel,Business,407.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,13.0,6.0,satisfied,102075
23614,23614.0,Female,Loyal Customer,57.0,Business travel,Business,1127.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,58.0,54.0,satisfied,83159
47926,47926.0,Male,Loyal Customer,57.0,Personal Travel,Eco,2475.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0,1.0,0.0,1.0,satisfied,129352
9083,9083.0,Male,Loyal Customer,48.0,Personal Travel,Eco,282.0,4.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,2.0,3.0,5.0,0.0,0.0,neutral or dissatisfied,65085
177,177.0,,disloyal Customer,8.0,Business travel,Business,1117.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,0.0,7.0,neutral or dissatisfied,14030
60522,60522.0,Male,Loyal Customer,22.0,Business travel,Eco,515.0,0.0,5.0,0.0,3.0,3.0,0.0,1.0,3.0,2.0,3.0,5.0,5.0,2.0,3.0,5.0,6.0,satisfied,26136
22970,22970.0,,Loyal Customer,40.0,Business travel,Business,674.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,satisfied,106359
19601,19601.0,Female,Loyal Customer,42.0,Business travel,Business,1723.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,19.0,0.0,satisfied,75135
1541,1541.0,Male,Loyal Customer,45.0,Business travel,Business,3934.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,neutral or dissatisfied,724
39865,39865.0,Male,Loyal Customer,46.0,Business travel,Business,3765.0,3.0,2.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,97.0,107.0,satisfied,115078
84996,84996.0,Female,Loyal Customer,31.0,Business travel,Business,3890.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,4.0,9.0,0.0,satisfied,86954
62654,62654.0,Male,disloyal Customer,24.0,Business travel,Eco,859.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,5.0,5.0,2.0,5.0,2.0,0.0,0.0,satisfied,29300
32907,32907.0,Male,Loyal Customer,43.0,Business travel,Business,2019.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,0.0,1.0,satisfied,8164
80094,80094.0,Male,Loyal Customer,76.0,Business travel,Eco Plus,587.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,16.0,37.0,neutral or dissatisfied,3032
39561,39561.0,Male,Loyal Customer,50.0,Business travel,Business,2926.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,0.0,satisfied,90627
91748,91748.0,Male,Loyal Customer,41.0,Business travel,Eco,296.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,5.0,0.0,0.0,satisfied,19084
68881,68881.0,Female,Loyal Customer,46.0,Business travel,Business,403.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,7.0,0.0,satisfied,58573
13707,13707.0,Male,Loyal Customer,16.0,Personal Travel,Eco,377.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,0.0,0.0,neutral or dissatisfied,100907
53457,53457.0,Female,Loyal Customer,13.0,Personal Travel,Eco Plus,2218.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,14.0,6.0,neutral or dissatisfied,92610
76465,76465.0,Male,disloyal Customer,24.0,Business travel,Eco,446.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,2.0,2.0,51.0,66.0,neutral or dissatisfied,115225
69839,69839.0,Male,Loyal Customer,49.0,Business travel,Business,3559.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,satisfied,88167
29126,29126.0,Female,Loyal Customer,49.0,Personal Travel,Eco,201.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,0.0,0.0,neutral or dissatisfied,33147
16099,16099.0,Female,Loyal Customer,43.0,Business travel,Eco,919.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,24.0,0.0,satisfied,25204
75232,75232.0,Female,Loyal Customer,26.0,Business travel,Business,3607.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,1.0,2.0,4.0,0.0,satisfied,25773
84118,84118.0,Female,Loyal Customer,24.0,Business travel,Eco Plus,1773.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,11.0,7.0,neutral or dissatisfied,127653
18106,18106.0,Female,Loyal Customer,30.0,Personal Travel,Eco,1242.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,5.0,2.0,5.0,0.0,neutral or dissatisfied,41611
59423,59423.0,Male,Loyal Customer,38.0,Business travel,Eco Plus,406.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,12.0,34.0,neutral or dissatisfied,25151
2557,2557.0,Female,Loyal Customer,60.0,Business travel,Business,3587.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,18.0,19.0,satisfied,7475
59338,59338.0,Female,Loyal Customer,26.0,Personal Travel,Eco,481.0,3.0,4.0,3.0,1.0,5.0,3.0,5.0,5.0,2.0,4.0,5.0,1.0,3.0,5.0,0.0,0.0,neutral or dissatisfied,76657
71330,71330.0,Female,Loyal Customer,36.0,Business travel,Business,528.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,36.0,10.0,neutral or dissatisfied,78789
94876,94876.0,Female,Loyal Customer,17.0,Personal Travel,Eco,448.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,5.0,4.0,2.0,0.0,0.0,neutral or dissatisfied,18934
60789,60789.0,Female,disloyal Customer,9.0,Business travel,Eco,1187.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,0.0,0.0,neutral or dissatisfied,8475
31400,31400.0,Female,Loyal Customer,50.0,Personal Travel,Eco,2845.0,3.0,0.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,110.0,75.0,neutral or dissatisfied,125483
65234,65234.0,Male,Loyal Customer,25.0,Personal Travel,Eco,456.0,2.0,5.0,2.0,4.0,1.0,2.0,1.0,1.0,5.0,4.0,5.0,4.0,4.0,1.0,30.0,65.0,neutral or dissatisfied,44066
30801,30801.0,Female,Loyal Customer,8.0,Business travel,Eco Plus,817.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,2.0,5.0,5.0,4.0,0.0,0.0,satisfied,12863
97870,97870.0,Male,Loyal Customer,61.0,Personal Travel,Eco,965.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,neutral or dissatisfied,39625
16061,16061.0,Female,Loyal Customer,,Personal Travel,Eco,594.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,110.0,118.0,neutral or dissatisfied,82895
52397,52397.0,Male,Loyal Customer,55.0,Business travel,Eco,230.0,5.0,2.0,2.0,2.0,5.0,5.0,,5.0,2.0,2.0,4.0,2.0,3.0,5.0,0.0,0.0,satisfied,44332
75995,75995.0,Male,Loyal Customer,33.0,Business travel,Business,2527.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,0.0,0.0,satisfied,74058
50129,50129.0,Male,disloyal Customer,34.0,Business travel,Business,290.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,1.0,5.0,3.0,3.0,4.0,4.0,0.0,0.0,neutral or dissatisfied,119155
102256,102256.0,Male,disloyal Customer,25.0,Business travel,Business,333.0,5.0,0.0,5.0,4.0,2.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,4.0,satisfied,114765
93502,93502.0,Male,Loyal Customer,43.0,Business travel,Eco,1428.0,5.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,2.0,5.0,2.0,3.0,5.0,3.0,0.0,0.0,satisfied,33798
94444,94444.0,Female,Loyal Customer,48.0,Business travel,Eco,551.0,2.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,45.0,24.0,satisfied,21924
81463,81463.0,Female,Loyal Customer,62.0,Personal Travel,Eco,1208.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,16.0,0.0,neutral or dissatisfied,53723
8387,8387.0,Female,disloyal Customer,21.0,Business travel,Eco,859.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,3.0,0.0,0.0,neutral or dissatisfied,91490
70527,70527.0,Female,Loyal Customer,36.0,Business travel,Business,282.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,9.0,27.0,neutral or dissatisfied,64869
79284,79284.0,Male,Loyal Customer,27.0,Business travel,Business,738.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,12.0,0.0,satisfied,92970
35861,35861.0,Male,Loyal Customer,47.0,Business travel,Business,1644.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0.0,,satisfied,66195
65955,65955.0,Male,Loyal Customer,56.0,Personal Travel,Eco,253.0,4.0,2.0,0.0,3.0,5.0,0.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,0.0,0.0,neutral or dissatisfied,30163
92337,92337.0,Male,Loyal Customer,64.0,Business travel,Business,3656.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,neutral or dissatisfied,115631
72718,72718.0,Male,disloyal Customer,59.0,Business travel,Business,250.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,5.0,5.0,4.0,2.0,22.0,17.0,neutral or dissatisfied,48677
50815,50815.0,Female,Loyal Customer,54.0,Personal Travel,Eco Plus,1107.0,4.0,1.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,1.0,0.0,0.0,satisfied,27703
57644,57644.0,Male,disloyal Customer,37.0,Business travel,Business,528.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,0.0,16.0,satisfied,82551
2109,2109.0,Male,disloyal Customer,8.0,Business travel,Eco,787.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,0.0,0.0,neutral or dissatisfied,59621
51379,51379.0,Female,Loyal Customer,39.0,Business travel,Eco Plus,337.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,neutral or dissatisfied,51317
97977,97977.0,Male,Loyal Customer,59.0,Business travel,Eco,109.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,4.0,5.0,0.0,0.0,satisfied,49150
89924,89924.0,Male,Loyal Customer,43.0,Business travel,Business,1777.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,satisfied,60183
46430,46430.0,Male,disloyal Customer,55.0,Business travel,Eco,108.0,5.0,0.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,2.0,4.0,0.0,0.0,satisfied,76
38592,38592.0,Female,Loyal Customer,36.0,Business travel,Business,3642.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,29.0,27.0,satisfied,50336
14884,14884.0,Male,Loyal Customer,36.0,Business travel,Eco,488.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,4.0,2.0,71.0,58.0,neutral or dissatisfied,60964
53024,53024.0,Male,Loyal Customer,19.0,Business travel,Business,1843.0,5.0,5.0,5.0,5.0,4.0,4.0,,4.0,3.0,2.0,4.0,5.0,4.0,4.0,10.0,0.0,satisfied,93346
30465,30465.0,Male,Loyal Customer,70.0,Personal Travel,Business,337.0,2.0,4.0,2.0,2.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,34.0,21.0,neutral or dissatisfied,63141
4935,4935.0,Male,Loyal Customer,30.0,Business travel,Business,3752.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,6.0,satisfied,127321
18123,,Male,disloyal Customer,23.0,Business travel,Eco,479.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,satisfied,14708
5612,5612.0,Female,disloyal Customer,20.0,Business travel,Eco,687.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,4.0,3.0,4.0,1.0,8.0,0.0,neutral or dissatisfied,103129
90930,90930.0,Female,Loyal Customer,14.0,Personal Travel,Eco Plus,192.0,2.0,5.0,0.0,4.0,4.0,0.0,4.0,4.0,5.0,4.0,,5.0,5.0,4.0,10.0,8.0,neutral or dissatisfied,12502
29806,29806.0,Female,Loyal Customer,50.0,Business travel,Eco Plus,680.0,2.0,2.0,2.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,0.0,0.0,satisfied,29676
8311,8311.0,Female,Loyal Customer,51.0,Personal Travel,Eco,338.0,2.0,4.0,5.0,1.0,3.0,4.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,5.0,0.0,0.0,neutral or dissatisfied,117152
13708,13708.0,Male,Loyal Customer,35.0,Business travel,Eco,551.0,4.0,1.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,4.0,4.0,4.0,175.0,175.0,satisfied,18836
22740,22740.0,Male,Loyal Customer,48.0,Business travel,Business,1723.0,4.0,4.0,4.0,,4.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,20.0,3.0,satisfied,58966
67436,67436.0,Male,Loyal Customer,65.0,Personal Travel,Eco Plus,677.0,2.0,5.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0,21.0,4.0,neutral or dissatisfied,95564
46994,46994.0,Male,Loyal Customer,59.0,Personal Travel,Eco,460.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,19.0,14.0,neutral or dissatisfied,66247
56844,56844.0,Male,Loyal Customer,53.0,Business travel,Eco Plus,489.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,16.0,6.0,neutral or dissatisfied,12865
98603,98603.0,Female,Loyal Customer,30.0,Business travel,Business,3754.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,0.0,0.0,satisfied,55886
6451,6451.0,Male,Loyal Customer,59.0,Business travel,Business,868.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,satisfied,127389
46630,46630.0,Female,Loyal Customer,42.0,Business travel,Business,2384.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,14.0,neutral or dissatisfied,19858
14826,14826.0,Female,Loyal Customer,69.0,Personal Travel,Eco,1694.0,3.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,20.0,22.0,neutral or dissatisfied,92965
72098,72098.0,Female,Loyal Customer,25.0,Business travel,Business,1714.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,0.0,106.0,neutral or dissatisfied,70482
8372,8372.0,Male,Loyal Customer,28.0,Personal Travel,Eco,280.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,5.0,1.0,0.0,0.0,neutral or dissatisfied,124843
59559,59559.0,Female,Loyal Customer,20.0,Personal Travel,Eco Plus,67.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,228.0,232.0,neutral or dissatisfied,39329
87224,87224.0,Male,Loyal Customer,57.0,Business travel,Eco Plus,933.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,1.0,5.0,5.0,0.0,satisfied,28216
9944,9944.0,Female,Loyal Customer,33.0,Business travel,Business,2676.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0,9.0,16.0,neutral or dissatisfied,29383
95097,95097.0,Male,Loyal Customer,52.0,Business travel,Eco Plus,2704.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,24.0,2.0,satisfied,38688
68093,68093.0,Male,Loyal Customer,46.0,Personal Travel,Eco,883.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,0.0,0.0,neutral or dissatisfied,97007
42614,42614.0,Female,disloyal Customer,20.0,Business travel,Eco,110.0,1.0,4.0,1.0,3.0,4.0,1.0,5.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,0.0,7.0,neutral or dissatisfied,52566
82177,82177.0,Male,Loyal Customer,42.0,Business travel,Business,2565.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,2.0,satisfied,94384
33764,33764.0,Female,Loyal Customer,35.0,Business travel,Eco,1028.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,19.0,30.0,satisfied,37462
29933,29933.0,Female,Loyal Customer,25.0,Business travel,Eco Plus,277.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,1.0,5.0,5.0,0.0,0.0,satisfied,16218
59593,59593.0,Female,Loyal Customer,49.0,Business travel,Business,3864.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,neutral or dissatisfied,40554
2648,2648.0,Male,Loyal Customer,57.0,Business travel,Business,867.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,15.0,10.0,neutral or dissatisfied,100988
83516,83516.0,Female,Loyal Customer,49.0,Business travel,Business,1805.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,19.0,0.0,satisfied,25951
35632,35632.0,Male,disloyal Customer,24.0,Business travel,Eco,936.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,neutral or dissatisfied,41701
29122,29122.0,Female,Loyal Customer,37.0,Business travel,Eco,500.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0,1.0,4.0,52.0,47.0,satisfied,21861
56694,56694.0,Male,Loyal Customer,48.0,Personal Travel,Eco,500.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,neutral or dissatisfied,122559
44662,44662.0,Female,Loyal Customer,57.0,Personal Travel,Eco Plus,1310.0,2.0,4.0,2.0,3.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,3.0,1.0,neutral or dissatisfied,89987
71992,71992.0,Female,Loyal Customer,41.0,Business travel,Business,289.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,282.0,305.0,satisfied,99979
59463,59463.0,Female,Loyal Customer,51.0,Business travel,Business,1416.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,0.0,0.0,satisfied,89893
48814,48814.0,Female,Loyal Customer,40.0,Business travel,Business,1325.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,neutral or dissatisfied,120217
47065,47065.0,Male,Loyal Customer,15.0,Business travel,Business,1733.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,0.0,22.0,satisfied,93305
11937,11937.0,Male,Loyal Customer,58.0,Business travel,Business,2532.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,satisfied,79577
60861,60861.0,Male,Loyal Customer,25.0,Personal Travel,Eco,277.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,3.0,1.0,3.0,4.0,0.0,0.0,neutral or dissatisfied,95157
37864,37864.0,Male,Loyal Customer,43.0,Business travel,Eco,583.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0,2.0,0.0,0.0,neutral or dissatisfied,96043
31596,31596.0,Male,Loyal Customer,31.0,Business travel,Business,675.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,5.0,5.0,0.0,0.0,satisfied,98403
29600,29600.0,Female,Loyal Customer,54.0,Business travel,Business,2370.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,0.0,0.0,satisfied,121142
86775,86775.0,Male,disloyal Customer,27.0,Business travel,Business,834.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,0.0,0.0,neutral or dissatisfied,109430
22406,22406.0,Female,Loyal Customer,56.0,Business travel,Business,432.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,22.0,27.0,satisfied,78727
34281,34281.0,Male,Loyal Customer,54.0,Business travel,Eco Plus,271.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,5.0,3.0,5.0,0.0,,satisfied,29183
58878,58878.0,Female,Loyal Customer,24.0,Business travel,Eco,191.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,6.0,neutral or dissatisfied,11034
50319,50319.0,Female,Loyal Customer,58.0,Business travel,Business,3877.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,5.0,5.0,4.0,5.0,1.0,5.0,4.0,0.0,4.0,satisfied,34746
45954,45954.0,Male,Loyal Customer,53.0,Business travel,Business,599.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,43.0,26.0,neutral or dissatisfied,3783
