Customer,State,Response,Coverage,Education,Effective To Date,Gender,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,EmploymentStatus,Income
EQ90867,Oregon,No,Basic,College,2/19/2011,M,Suburban,Divorced,68.0,13.0,99.0,0.0,3.0,Corporate Auto,Corporate L1,Offer1,Agent,326.4,Four-Door Car,Small,Employed,57125
PG67485,Nevada,Yes,Basic,High School or Below,1/24/2011,M,Suburban,Married,119.0,9.0,8.0,0.0,3.0,Personal Auto,Personal L2,Offer2,Web,571.2,Sports Car,Medsize,Unemployed,0
OX62244,California,No,Basic,Bachelor,1/24/2011,M,Suburban,Single,64.0,17.0,84.0,0.0,9.0,Personal Auto,Personal L1,Offer1,Branch,307.2,Four-Door Car,Medsize,Unemployed,0
MW98508,Oregon,No,Basic,College,2/13/2011,F,Rural,Married,73.0,32.0,1.0,2.0,1.0,Special Auto,Special L3,Offer2,Web,22.569825,Four-Door Car,Medsize,Employed,72075
MM50888,Arizona,No,Extended,High School or Below,2/13/2011,F,Urban,Married,78.0,6.0,32.0,2.0,1.0,Personal Auto,Personal L3,Offer2,Web,263.592181,Two-Door Car,Medsize,Employed,34317
QZ19741,Oregon,No,Premium,College,1/3/2011,F,Suburban,Married,179.0,14.0,25.0,5.0,3.0,Personal Auto,Personal L1,Offer2,Branch,859.2,SUV,Medsize,Employed,96745
ET10831,Oregon,No,Basic,College,1/6/2011,M,Suburban,Single,65.0,2.0,85.0,0.0,5.0,Personal Auto,Personal L1,Offer1,Call Center,442.808018,Four-Door Car,Medsize,Employed,95427
OL72669,Arizona,No,Premium,Bachelor,2/7/2011,M,Suburban,Single,146.0,5.0,84.0,0.0,3.0,Corporate Auto,Corporate L3,Offer1,Call Center,1404.845849,SUV,Medsize,Unemployed,0
BM46418,Nevada,No,Basic,College,2/20/2011,M,Urban,Married,71.0,11.0,7.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,253.04739,Two-Door Car,Medsize,Employed,30606
VD78722,Oregon,Yes,Basic,College,2/20/2011,M,Urban,Single,69.0,13.0,15.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Agent,300.056383,Four-Door Car,Medsize,Employed,37876
FL69981,California,No,Basic,Bachelor,2/23/2011,F,Suburban,Married,110.0,17.0,59.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,528.0,SUV,Medsize,Unemployed,0
EG10175,California,No,Extended,Master,2/16/2011,F,Urban,Divorced,97.0,21.0,44.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Agent,280.037716,Two-Door Car,Large,Employed,57474
WS60888,California,Yes,Basic,Bachelor,2/24/2011,M,Suburban,Married,106.0,11.0,54.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Agent,508.8,SUV,Medsize,Retired,22828
LM58227,Oregon,No,Basic,High School or Below,1/14/2011,F,Suburban,Married,67.0,3.0,81.0,3.0,8.0,Personal Auto,Personal L2,Offer1,Call Center,321.6,Four-Door Car,Medsize,Employed,65096
IK49861,Oregon,No,Extended,Bachelor,2/23/2011,M,Rural,Married,88.0,1.0,66.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Agent,87.135752,Two-Door Car,Medsize,Unemployed,0
RM87465,Arizona,Yes,Basic,High School or Below,2/26/2011,M,Suburban,Single,74.0,23.0,0.0,0.0,8.0,Personal Auto,Personal L2,Offer2,Call Center,787.993313,Four-Door Car,Medsize,Employed,51066
BY75330,California,No,Basic,Bachelor,1/15/2011,M,Urban,Divorced,113.0,26.0,88.0,1.0,2.0,Personal Auto,Personal L2,Offer1,Agent,377.385724,SUV,Small,Employed,96866
CF41619,Nevada,No,Basic,College,2/9/2011,M,Suburban,Married,61.0,14.0,35.0,1.0,1.0,Personal Auto,Personal L3,Offer2,Branch,292.8,Four-Door Car,Small,Employed,20934
ZZ54454,Nevada,No,Premium,Master,1/10/2011,M,Suburban,Single,119.0,29.0,38.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Agent,571.2,Two-Door Car,Small,Employed,32510
CU84967,California,Yes,Basic,High School or Below,1/29/2011,F,Urban,Married,110.0,6.0,62.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,303.872752,SUV,Medsize,Employed,58577
UR56056,Oregon,No,Extended,Bachelor,2/6/2011,M,Rural,Married,137.0,30.0,35.0,0.0,3.0,Personal Auto,Personal L3,Offer3,Agent,41.139806,SUV,Medsize,Employed,73268
VN30344,California,No,Extended,College,1/22/2011,M,Suburban,Single,80.0,8.0,44.0,0.0,3.0,Personal Auto,Personal L3,Offer2,Agent,576.0,Four-Door Car,Small,Unemployed,0
YE67531,Oregon,Yes,Basic,High School or Below,2/4/2011,M,Suburban,Married,117.0,17.0,41.0,1.0,9.0,Personal Auto,Personal L3,Offer1,Web,561.6,Sports Car,Medsize,Retired,19683
EW67348,Nevada,Yes,Basic,College,1/31/2011,F,Suburban,Divorced,66.0,31.0,69.0,4.0,6.0,Personal Auto,Personal L3,Offer2,Call Center,316.8,Four-Door Car,Medsize,Employed,38713
PD69398,Washington,No,Extended,College,2/26/2011,M,Rural,Married,94.0,4.0,10.0,2.0,2.0,Corporate Auto,Corporate L1,Offer2,,32.00761,Four-Door Car,Medsize,Employed,62370
YT43943,California,No,Basic,High School or Below,2/17/2011,F,Suburban,Divorced,62.0,3.0,76.0,0.0,,Personal Auto,Personal L3,Offer2,Agent,297.6,Four-Door Car,Medsize,Employed,28476
ON74557,California,No,Extended,Bachelor,1/6/2011,M,Urban,Married,122.0,13.0,17.0,0.0,2.0,Personal Auto,Personal L2,Offer3,Branch,393.151377,SUV,Medsize,Employed,74915
JL52508,Oregon,Yes,Extended,Doctor,1/30/2011,M,Suburban,Married,125.0,10.0,26.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Branch,600.0,SUV,Medsize,Employed,57709
UI62725,Oregon,No,Basic,Bachelor,1/2/2011,M,Suburban,Divorced,69.0,27.0,14.0,0.0,3.0,Corporate Auto,Corporate L3,Offer2,Agent,331.2,Four-Door Car,Medsize,Employed,94676
LO75919,Arizona,No,Extended,Bachelor,1/1/2011,M,Urban,Married,76.0,11.0,62.0,0.0,8.0,Personal Auto,Personal L3,Offer1,Call Center,339.255348,Two-Door Car,Medsize,Employed,43543
SM62247,Nevada,No,Extended,High School or Below,1/24/2011,F,Suburban,Single,212.0,6.0,42.0,3.0,2.0,Corporate Auto,Corporate L3,Offer2,Call Center,1272.487601,Luxury Car,Medsize,Employed,68297
AF20716,Oregon,No,Basic,Bachelor,1/17/2011,M,Rural,Married,61.0,21.0,57.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,138.588291,Two-Door Car,Medsize,Employed,74241
LQ22609,Arizona,No,Extended,College,1/11/2011,F,Rural,Married,86.0,25.0,35.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,199.299449,Four-Door Car,Medsize,Employed,61385
ZP80265,Oregon,No,Basic,Bachelor,1/11/2011,M,Suburban,Single,62.0,0.0,23.0,0.0,8.0,Personal Auto,Personal L3,Offer1,Agent,446.4,Two-Door Car,Large,Unemployed,0
BO87401,Nevada,Yes,Basic,College,2/21/2011,F,Suburban,Divorced,118.0,14.0,64.0,0.0,4.0,Personal Auto,Personal L1,Offer1,Agent,566.4,SUV,Medsize,Unemployed,0
SX20211,Oregon,No,Premium,College,1/22/2011,M,Suburban,Married,101.0,10.0,1.0,0.0,5.0,Personal Auto,Personal L3,Offer2,Call Center,587.504777,Four-Door Car,Medsize,Employed,52548
EK61334,California,No,Extended,Bachelor,2/22/2011,F,Urban,Married,95.0,22.0,17.0,0.0,1.0,Personal Auto,Personal L2,Offer3,Agent,429.657692,Four-Door Car,Medsize,Unemployed,0
QJ49871,Oregon,No,Basic,College,1/21/2011,M,Suburban,Married,100.0,33.0,13.0,0.0,1.0,Personal Auto,Personal L1,Offer3,Call Center,933.330936,SUV,Medsize,Employed,26605
OO65445,Oregon,No,Basic,Bachelor,1/27/2011,F,Urban,Married,67.0,25.0,32.0,0.0,1.0,Personal Auto,Personal L1,Offer1,Call Center,181.335364,Four-Door Car,Medsize,Unemployed,0
WP55297,Washington,No,Basic,Bachelor,1/10/2011,M,Suburban,Single,70.0,23.0,32.0,0.0,7.0,Personal Auto,Personal L1,Offer2,Branch,754.945216,Four-Door Car,Large,Unemployed,0
WY12393,Washington,No,Basic,High School or Below,1/23/2011,F,Suburban,Single,64.0,5.0,65.0,1.0,2.0,Special Auto,Special L1,Offer1,Branch,307.2,Two-Door Car,Medsize,Employed,82667
JF32940,Oregon,No,Extended,Bachelor,1/12/2011,F,Rural,Married,130.0,11.0,65.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Agent,316.418786,SUV,Small,Employed,31789
WX84274,Oregon,No,Basic,Bachelor,2/13/2011,F,Suburban,Single,71.0,10.0,85.0,0.0,3.0,Corporate Auto,Corporate L3,Offer1,Agent,551.569883,Four-Door Car,Small,Unemployed,0
CW85845,California,No,Basic,High School or Below,1/8/2011,,Urban,Married,69.0,22.0,19.0,0.0,1.0,Corporate Auto,Corporate L2,Offer2,Agent,318.040989,Four-Door Car,Medsize,Employed,25151
IO57824,Arizona,No,Extended,Bachelor,2/2/2011,M,Urban,Married,87.0,25.0,6.0,2.0,1.0,Personal Auto,Personal L2,Offer2,Web,414.190987,Four-Door Car,Medsize,Unemployed,0
AX86552,California,No,Extended,College,2/18/2011,M,Suburban,Divorced,87.0,33.0,53.0,1.0,7.0,Personal Auto,Personal L2,,Web,624.532492,Four-Door Car,Medsize,Medical Leave,24053
LM84078,Oregon,No,Basic,College,2/21/2011,M,Suburban,Single,117.0,5.0,3.0,0.0,2.0,Personal Auto,,Offer3,Web,1373.258272,SUV,Medsize,Unemployed,0
GG87344,Oregon,No,Basic,College,1/4/2011,F,Urban,Married,101.0,30.0,68.0,1.0,1.0,Personal Auto,Personal L3,Offer3,Agent,275.341953,SUV,Medsize,Employed,55407
LA35379,Oregon,No,Basic,Master,1/8/2011,F,Rural,Married,73.0,15.0,7.0,0.0,1.0,Personal Auto,Personal L1,Offer2,Agent,129.267408,Four-Door Car,Small,Employed,62461
EZ43738,California,No,Basic,Bachelor,2/9/2011,F,Suburban,Married,68.0,33.0,79.0,0.0,6.0,Personal Auto,Personal L3,Offer1,Agent,326.4,Four-Door Car,Medsize,Medical Leave,29406
DF49110,Oregon,No,Basic,Doctor,1/12/2011,M,Urban,Married,67.0,3.0,83.0,0.0,2.0,Personal Auto,Personal L1,Offer2,Call Center,212.455137,Four-Door Car,Medsize,Employed,89420
IL32727,California,No,Extended,High School or Below,2/24/2011,F,Suburban,Married,121.0,7.0,69.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Agent,644.269611,SUV,Medsize,Unemployed,0
QV55524,Washington,No,Extended,College,,M,Suburban,Married,95.0,9.0,15.0,0.0,3.0,Personal Auto,Personal L2,Offer4,Agent,515.930856,Four-Door Car,Medsize,Employed,52464
EB55390,Oregon,No,Basic,,2/12/2011,F,Urban,Married,64.0,35.0,12.0,2.0,1.0,Special Auto,Special L3,Offer3,Web,162.461078,Four-Door Car,Medsize,Employed,43731
KB54415,Arizona,No,Basic,High School or Below,1/30/2011,M,Suburban,Single,68.0,28.0,13.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Agent,326.4,Four-Door Car,Large,Disabled,13449
PG14554,Arizona,No,Basic,Bachelor,2/26/2011,M,Suburban,Married,115.0,3.0,22.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Call Center,552.0,SUV,Small,Unemployed,0
QI63521,Nevada,No,Basic,High School or Below,2/24/2011,M,Suburban,Single,187.0,14.0,32.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Branch,897.6,,Medsize,Unemployed,0
DC85335,Oregon,No,Basic,College,1/13/2011,M,Suburban,Married,61.0,26.0,48.0,4.0,3.0,Personal Auto,Personal L2,Offer4,Web,333.308611,Four-Door Car,Small,Employed,49821
SR26762,California,No,Basic,Bachelor,2/7/2011,F,Rural,Married,63.0,32.0,27.0,0.0,2.0,Personal Auto,Personal L1,Offer1,Agent,72.828431,Four-Door Car,Medsize,Employed,34837
UH86550,Oregon,No,Premium,College,1/17/2011,F,Urban,Married,104.0,19.0,3.0,0.0,1.0,Personal Auto,Personal L2,Offer3,Branch,413.196371,Four-Door Car,Medsize,Employed,44222
ON72594,California,No,Extended,Master,2/26/2011,F,Urban,Married,97.0,8.0,51.0,0.0,2.0,Personal Auto,Personal L2,Offer4,Branch,354.885018,Four-Door Car,Medsize,Employed,58881
LE28486,Oregon,No,Basic,College,2/5/2011,F,Rural,Married,100.0,2.0,44.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,46.315771,SUV,Medsize,Employed,46210
EJ86526,Oregon,No,Basic,Bachelor,1/15/2011,F,Rural,Married,70.0,17.0,57.0,1.0,4.0,Corporate Auto,Corporate L2,Offer2,Web,72.686545,Four-Door Car,Medsize,Employed,49480
DQ92905,Arizona,No,Basic,Bachelor,2/24/2011,M,Suburban,Single,65.0,16.0,3.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Web,312.0,Four-Door Car,Medsize,Unemployed,0
JL25091,California,No,Premium,Bachelor,2/27/2011,M,Rural,Single,117.0,9.0,59.0,1.0,1.0,Special Auto,Special L2,Offer3,Agent,156.452827,Four-Door Car,Medsize,Employed,79284
HP42153,Washington,No,Basic,High School or Below,1/29/2011,F,Suburban,Single,64.0,12.0,74.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,307.2,Four-Door Car,Medsize,Medical Leave,12928
OQ27893,Oregon,No,Basic,High School or Below,1/10/2011,M,Suburban,Married,74.0,32.0,63.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,355.2,Two-Door Car,Medsize,Employed,20510
PB31909,California,No,Premium,College,1/19/2011,M,Suburban,Single,115.0,16.0,89.0,0.0,1.0,Corporate Auto,Corporate L2,Offer1,Agent,828.0,Four-Door Car,Medsize,Unemployed,0
AL43715,Nevada,No,Premium,Master,1/29/2011,M,Rural,Married,104.0,10.0,45.0,0.0,6.0,Personal Auto,Personal L3,Offer4,Agent,203.886869,Four-Door Car,Medsize,Employed,67541
YA70612,Oregon,No,Basic,Bachelor,2/14/2011,M,Suburban,Married,74.0,4.0,26.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Branch,355.2,Two-Door Car,Medsize,Employed,97924
LO37570,Arizona,No,Extended,High School or Below,1/7/2011,M,Suburban,Married,77.0,21.0,66.0,0.0,2.0,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,Employed,40432
XC83045,Nevada,No,Extended,Bachelor,2/9/2011,M,Suburban,Divorced,222.0,28.0,57.0,0.0,3.0,Personal Auto,Personal L2,Offer1,Call Center,1065.6,Luxury SUV,Small,Disabled,16869
NC47038,Arizona,No,Basic,High School or Below,1/10/2011,M,Suburban,Married,110.0,3.0,64.0,0.0,8.0,Personal Auto,Personal L2,Offer2,Agent,771.39748,SUV,Medsize,Employed,91171
DS31990,Oregon,No,Basic,High School or Below,1/12/2011,M,Rural,Married,71.0,12.0,55.0,0.0,3.0,Personal Auto,Personal L3,Offer2,Call Center,150.878447,Two-Door Car,Large,Unemployed,0
CR99369,Arizona,No,Basic,High School or Below,2/16/2011,M,Urban,Married,69.0,22.0,0.0,2.0,7.0,Corporate Auto,Corporate L3,Offer1,Agent,183.602763,Four-Door Car,Large,Employed,34528
RE68901,,No,Basic,College,2/26/2011,F,Suburban,Married,71.0,24.0,84.0,0.0,3.0,Corporate Auto,Corporate L3,Offer1,Branch,340.8,Four-Door Car,Small,Employed,20303
VQ97965,Oregon,No,Extended,Bachelor,2/23/2011,F,Rural,Single,89.0,2.0,2.0,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Agent,147.486454,Four-Door Car,Medsize,Employed,73643
ZK83518,California,Yes,Basic,College,2/11/2011,M,Suburban,Single,67.0,28.0,22.0,0.0,5.0,Personal Auto,Personal L3,Offer1,Agent,321.6,Four-Door Car,Medsize,Retired,10621
EJ77557,California,No,Extended,High School or Below,2/7/2011,M,Suburban,Married,91.0,22.0,85.0,0.0,9.0,Personal Auto,Personal L2,Offer1,Agent,436.8,Four-Door Car,Medsize,Employed,76407
QJ62033,Arizona,No,Basic,High School or Below,2/6/2011,M,Suburban,Single,71.0,20.0,4.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,511.2,Four-Door Car,Medsize,Unemployed,0
OH23652,Oregon,No,Extended,Bachelor,2/6/2011,F,Suburban,Married,122.0,3.0,73.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Agent,585.6,SUV,Medsize,Medical Leave,26607
NE51159,Oregon,No,Extended,College,1/24/2011,M,Suburban,Married,94.0,17.0,20.0,0.0,6.0,Personal Auto,Personal L2,Offer2,Branch,658.125874,Four-Door Car,Small,Employed,61783
GU56606,Nevada,No,Extended,Bachelor,1/5/2011,M,Suburban,Divorced,77.0,7.0,17.0,0.0,3.0,Personal Auto,Personal L1,Offer2,Branch,369.6,Two-Door Car,Medsize,Employed,20283
HR28499,California,No,Extended,Bachelor,1/1/2011,M,Rural,Married,98.0,5.0,46.0,0.0,1.0,Personal Auto,Personal L1,Offer2,Agent,105.662175,Two-Door Car,Medsize,Employed,43578
VK92827,California,No,Basic,Bachelor,1/26/2011,M,Suburban,Divorced,67.0,23.0,44.0,0.0,3.0,Personal Auto,Personal L3,Offer2,Branch,321.6,Four-Door Car,Small,Employed,93606
DZ85842,California,No,Basic,High School or Below,2/27/2011,M,Suburban,Married,72.0,14.0,53.0,0.0,2.0,Personal Auto,Personal L1,Offer1,Branch,424.375364,Four-Door Car,Medsize,Retired,17920
HX87528,California,No,Extended,College,1/28/2011,M,Urban,Single,92.0,29.0,12.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Agent,299.452532,Four-Door Car,Medsize,Employed,51800
FJ57446,Oregon,No,Basic,College,1/4/2011,F,Suburban,Single,108.0,3.0,3.0,0.0,7.0,Personal Auto,Personal L2,,Agent,741.850171,SUV,Small,Employed,27694
GU91528,Oregon,Yes,Basic,High School or Below,2/3/2011,F,Suburban,Single,61.0,34.0,11.0,2.0,3.0,Personal Auto,Personal L1,Offer1,Web,292.8,Two-Door Car,Small,Disabled,11904
LR92373,Nevada,No,Basic,Bachelor,1/7/2011,F,Urban,Divorced,72.0,10.0,67.0,1.0,1.0,Personal Auto,Personal L2,Offer1,Branch,315.703929,Four-Door Car,Medsize,Employed,53444
LC90366,Nevada,Yes,Basic,Bachelor,2/24/2011,M,Suburban,Married,106.0,11.0,54.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Agent,508.8,SUV,Medsize,Retired,22828
UI36597,Oregon,No,Extended,Bachelor,2/2/2011,M,Suburban,Married,131.0,33.0,79.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Call Center,870.626907,SUV,Small,Employed,50719
MD33155,California,Yes,Basic,College,2/9/2011,M,Suburban,Married,66.0,13.0,59.0,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Web,316.8,Four-Door Car,Medsize,Employed,46900
MB20764,Oregon,No,Premium,High School or Below,2/18/2011,M,Suburban,Single,252.0,31.0,10.0,0.0,3.0,Corporate Auto,Corporate L2,Offer4,Branch,1814.4,Luxury SUV,Medsize,Unemployed,0
JA76884,California,Yes,Premium,Master,1/26/2011,M,Rural,Married,119.0,25.0,89.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Agent,109.906628,Two-Door Car,Medsize,Employed,60880
BQ32117,California,Yes,Basic,Doctor,1/14/2011,M,Suburban,Married,105.0,3.0,56.0,0.0,2.0,Personal Auto,Personal L1,Offer1,Agent,504.0,SUV,Large,Employed,40870
ZM45168,Oregon,No,Basic,College,2/14/2011,M,Suburban,Single,65.0,20.0,72.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Branch,423.823547,Four-Door Car,Medsize,Disabled,14321
BE25221,Arizona,No,Extended,High School or Below,2/7/2011,M,Suburban,Married,82.0,35.0,51.0,0.0,9.0,Corporate Auto,Corporate L3,Offer1,Agent,473.266879,Four-Door Car,Medsize,Medical Leave,20072
II92123,Oregon,No,Extended,High School or Below,2/21/2011,M,Rural,Divorced,79.0,4.0,35.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Agent,2.823303,Two-Door Car,Medsize,Employed,77365
PN35535,California,No,Basic,College,2/25/2011,F,Suburban,Married,115.0,8.0,22.0,0.0,1.0,Personal Auto,Personal L1,Offer2,Web,552.0,SUV,Medsize,Employed,98475
EI17022,Washington,Yes,Basic,Bachelor,2/5/2011,M,Suburban,Divorced,115.0,2.0,75.0,0.0,2.0,Corporate Auto,Corporate L3,Offer1,Branch,828.0,,Medsize,Retired,14973
OH41318,Washington,No,,Master,1/7/2011,M,Suburban,Divorced,131.0,26.0,77.0,2.0,2.0,Personal Auto,Personal L3,Offer3,Web,704.337157,SUV,Medsize,Employed,83385
ER52041,California,No,Extended,College,1/7/2011,M,Suburban,Single,90.0,19.0,91.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Call Center,659.435886,Four-Door Car,Medsize,Unemployed,0
PY57181,Oregon,No,Extended,College,2/20/2011,M,Suburban,Married,86.0,9.0,83.0,1.0,2.0,Personal Auto,Personal L3,Offer2,Call Center,412.8,Four-Door Car,Medsize,Unemployed,0
CY12922,Arizona,No,Basic,College,1/31/2011,M,Suburban,Single,73.0,8.0,19.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Web,525.6,Four-Door Car,Small,Unemployed,0
YV85096,Oregon,No,Basic,Bachelor,2/19/2011,F,Urban,Married,65.0,3.0,77.0,0.0,8.0,Corporate Auto,Corporate L2,Offer1,Branch,176.287711,Four-Door Car,Medsize,Employed,98110
DG34434,California,Yes,Basic,Bachelor,1/21/2011,F,Suburban,Married,66.0,15.0,66.0,0.0,8.0,Corporate Auto,Corporate L2,Offer1,Agent,456.702735,Two-Door Car,Medsize,Employed,28909
DL14445,California,No,Extended,College,2/21/2011,F,Suburban,Single,96.0,29.0,5.0,0.0,2.0,Personal Auto,Personal L2,Offer3,Branch,949.953253,Four-Door Car,Small,Unemployed,0
QL80621,Oregon,No,Basic,Bachelor,,F,Suburban,Divorced,62.0,6.0,2.0,0.0,1.0,Personal Auto,Personal L1,Offer1,Web,297.6,Four-Door Car,Medsize,Unemployed,0
NY57065,California,No,Basic,Bachelor,1/8/2011,M,Urban,Married,71.0,14.0,9.0,0.0,1.0,Corporate Auto,Corporate L1,Offer1,Call Center,251.779842,Two-Door Car,Small,Employed,42937
EO17010,California,No,Basic,Master,2/12/2011,M,Urban,Married,119.0,15.0,18.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Agent,444.167713,SUV,Large,Employed,30887
LC47479,Oregon,No,Extended,College,1/11/2011,M,Suburban,Married,239.0,10.0,20.0,0.0,2.0,Personal Auto,Personal L2,Offer3,Branch,1147.2,Luxury Car,Small,Employed,35442
GB92679,Nevada,No,Premium,High School or Below,1/5/2011,F,Rural,Married,103.0,25.0,27.0,0.0,6.0,Personal Auto,Personal L1,Offer1,Agent,34.023132,Four-Door Car,Medsize,Employed,95139
VQ78876,Oregon,No,Basic,Bachelor,2/3/2011,F,Rural,Married,116.0,24.0,11.0,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Branch,43.15595,SUV,Medsize,Employed,89834
YQ24856,California,No,Basic,Bachelor,1/23/2011,M,Suburban,Single,66.0,18.0,21.0,0.0,2.0,Corporate Auto,Corporate L2,Offer2,Web,478.509797,Two-Door Car,Medsize,Unemployed,0
XV11038,California,No,Extended,College,2/25/2011,F,Suburban,Single,122.0,20.0,94.0,0.0,3.0,Personal Auto,,Offer2,Branch,585.6,Sports Car,Medsize,Medical Leave,18814
MG88768,California,No,Basic,College,2/4/2011,M,Rural,Married,62.0,5.0,,0.0,9.0,Corporate Auto,Corporate L3,Offer2,Branch,72.101019,Four-Door Car,Medsize,Employed,82733
RN36393,California,Yes,Basic,High School or Below,1/19/2011,F,Suburban,Married,100.0,4.0,22.0,1.0,2.0,Personal Auto,Personal L2,Offer2,Call Center,480.0,SUV,Medsize,Medical Leave,28513
BU59722,Washington,No,Basic,High School or Below,1/9/2011,M,Suburban,Married,68.0,28.0,23.0,1.0,9.0,Personal Auto,Personal L2,Offer3,Web,326.4,Four-Door Car,Medsize,Unemployed,0
JD86991,Oregon,No,Basic,Bachelor,2/22/2011,M,Urban,Married,63.0,10.0,26.0,0.0,3.0,Personal Auto,Personal L3,Offer3,Call Center,246.693624,Two-Door Car,Medsize,Employed,67233
QM60216,Oregon,No,Extended,College,1/10/2011,M,Suburban,Single,226.0,11.0,0.0,0.0,1.0,Personal Auto,Personal L3,,Agent,1084.8,Luxury Car,Medsize,Employed,58718
NJ43658,California,No,Basic,Master,1/11/2011,M,Suburban,Married,198.0,4.0,51.0,0.0,2.0,Corporate Auto,Corporate L1,Offer1,Agent,1505.230405,Luxury SUV,Large,Disabled,21724
GL34504,California,No,Premium,High School or Below,1/19/2011,F,Suburban,Married,115.0,29.0,41.0,4.0,3.0,Personal Auto,Personal L3,Offer2,Branch,552.0,,Small,Employed,65103
YX51934,California,No,Basic,High School or Below,2/22/2011,F,Urban,Married,61.0,10.0,14.0,0.0,5.0,Personal Auto,Personal L2,Offer3,Call Center,231.516063,Four-Door Car,Medsize,Employed,55071
FO83170,California,No,Basic,Doctor,2/3/2011,M,Rural,Married,72.0,0.0,31.0,0.0,1.0,Personal Auto,Personal L1,Offer4,Agent,154.987759,Four-Door Car,Medsize,Employed,85817
JW33458,California,No,Basic,Master,2/15/2011,F,Urban,Married,70.0,7.0,94.0,0.0,7.0,Corporate Auto,Corporate L3,Offer3,Call Center,245.593225,Four-Door Car,Medsize,Employed,92254
JP10227,California,Yes,Premium,College,1/1/2011,M,Suburban,Married,102.0,16.0,1.0,0.0,2.0,Corporate Auto,Corporate L2,Offer1,Branch,489.6,Two-Door Car,Medsize,Employed,88340
HX90683,California,Yes,Basic,College,1/20/2011,F,Urban,Married,62.0,26.0,81.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Agent,208.598246,Four-Door Car,Medsize,Employed,63860
UC19334,California,No,Extended,High School or Below,1/9/2011,F,Suburban,Married,126.0,25.0,9.0,1.0,1.0,Corporate Auto,Corporate L3,Offer3,Agent,604.8,SUV,Medsize,Medical Leave,26411
ED61615,California,No,Basic,High School or Below,1/21/2011,M,Suburban,Single,69.0,6.0,42.0,0.0,2.0,Personal Auto,Personal L2,Offer3,Agent,331.2,Four-Door Car,Small,Employed,26189
CB78049,California,No,Extended,College,1/7/2011,M,Rural,Single,92.0,12.0,6.0,4.0,1.0,Personal Auto,Personal L2,Offer4,Branch,178.842061,Four-Door Car,Medsize,Employed,66114
OS70004,California,No,Premium,College,2/25/2011,M,Suburban,Single,193.0,4.0,35.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Branch,926.4,SUV,Medsize,Employed,49561
SM67119,California,No,Basic,College,2/24/2011,F,Suburban,Married,62.0,19.0,69.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Branch,297.6,Four-Door Car,Large,Disabled,16139
RO77709,California,No,Basic,High School or Below,1/26/2011,M,Urban,Married,100.0,29.0,3.0,0.0,3.0,Corporate Auto,Corporate L1,Offer2,Call Center,462.753151,SUV,Small,Employed,63775
QT27514,California,Yes,Basic,Bachelor,1/12/2011,F,Suburban,Married,67.0,3.0,0.0,0.0,6.0,Personal Auto,Personal L3,Offer2,Call Center,321.6,Four-Door Car,Small,Employed,25134
